time_ns,rmsd_A
0.0,0.0
0.02,0.7732456941730635
0.04,0.8644610700057027
0.06,0.9152552912038647
0.08,1.0649419688088764
0.1,1.02801728719597
0.12,1.1905895690707893
0.14,1.1380327716549576
0.16,1.0631611678329669
0.18,1.0960246001373297
0.2,1.0334331255529907
0.22,1.1923510454147395
0.24,1.169534176509298
0.26,1.1536659171302015
0.28,1.4171457790099433
0.3,1.4850421267114364
0.32,1.281500096697701
0.34,1.3275099010837101
0.36,1.2971779574456943
0.38,1.0847782890486266
0.4,1.2913568730947844
0.42,1.2049496506249917
0.44,1.3411855312173107
0.46,1.3962128166472618
0.48,1.5537300270774395
0.5,1.6638458366912043
0.52,1.5167643394105188
0.54,1.6220593477885774
0.56,1.569978716300328
0.58,1.479223612731434
0.6,1.3746379063646352
0.62,1.4093984207768984
0.64,1.3079880168531008
0.66,1.5591775883068038
0.68,1.3316594965945674
0.7000000000000001,1.5099524096421622
0.72,1.6168819457146018
0.74,1.515083840856759
0.76,1.4763039019441742
0.78,1.4662076361360448
0.8,1.543847817190147
0.8200000000000001,1.3259051574767502
0.84,1.281333891067897
0.86,1.2637757715015205
0.88,1.355499797148653
0.9,1.4208266310743705
0.92,1.3971349217571838
0.9400000000000001,1.4076605103762756
0.96,1.3119461553033651
0.98,1.3745612955053033
1.0,1.5763685774863854
1.02,1.696215034853647
1.04,1.7406350935507764
1.06,1.6706458668563429
1.08,1.3923463540078989
1.1,1.302409589156517
1.12,1.444751699496133
1.1400000000000001,1.3493909700358564
1.16,1.452338840984682
1.18,1.6069032067613436
1.2,1.7929790629108653
1.22,2.0082790832004336
1.24,2.081163284163266
1.26,2.0393147464217765
1.28,1.9726146552886534
1.3,1.9272238936406272
1.32,1.863304313303098
1.34,1.9269465209267047
1.36,2.0975408496628276
1.3800000000000001,2.1564946178568523
1.4000000000000001,2.318923847108273
1.42,2.3540720693822283
1.44,2.2004844250092295
1.46,2.227884914948646
1.48,1.8656395678460242
1.5,1.7917008832899939
1.52,1.5743638558478557
1.54,1.743065407118301
1.56,1.9955506660773117
1.58,2.130063024430737
1.6,1.9772426221268693
1.62,1.7896696901915028
1.6400000000000001,1.608575768629085
1.6600000000000001,1.4102820248828445
1.68,1.4810679747912658
1.7,1.6018030074093599
1.72,1.5654836387518976
1.74,1.6347924947300725
1.76,1.580020022445222
1.78,1.5499283407835311
1.8,1.4946638524059828
1.82,1.5384315552141143
1.84,1.574301212302891
1.86,1.5054537980474898
1.8800000000000001,1.5532075776394552
1.9000000000000001,1.3210372178651282
1.92,1.3868887317660328
1.94,1.3818501350349863
1.96,1.5395605075398189
1.98,1.5376514619662904
2.0,1.437584758191664
2.02,1.4270801564161424
2.04,1.4254938794030576
2.06,1.6110543903207406
2.08,1.6574614833104104
2.1,1.7050698886634903
2.12,1.767913027841244
2.14,1.7431613848059684
2.16,1.7133680021443738
2.18,1.7696126228767441
2.2,1.8814027034428462
2.22,1.592343800911005
2.24,1.518334746916409
2.2600000000000002,1.6242589854719849
2.2800000000000002,1.469417302203034
2.3000000000000003,1.4487881025360325
2.32,1.5407014716324687
2.34,1.555872622636829
2.36,1.5771725440482625
2.38,1.5426419897466659
2.4,1.6298979056506413
2.42,1.6100535762222066
2.44,1.4856868844472166
2.46,1.352663117000007
2.48,1.329513086431661
2.5,1.4384422916923112
2.52,1.4840920383266356
2.54,1.399262808946883
2.56,1.5366780999365084
2.58,1.5444025915366715
2.6,1.6359443118167496
2.62,1.6569646183953548
2.64,1.6472705393301736
2.66,1.5928058462662367
2.68,1.485435937373465
2.7,1.5160443206398866
2.72,1.4373617336761229
2.74,1.4962797622772557
2.7600000000000002,1.4847847996588153
2.7800000000000002,1.6242010636480166
2.8000000000000003,1.6038724592343765
2.82,1.6499333428261225
2.84,1.6079407277482283
2.86,1.5815593481063797
2.88,1.6304588718692146
2.9,1.7943562289060677
2.92,1.8175630522490933
2.94,1.8496271737835062
2.96,1.7364262430341102
2.98,1.7582222703163526
3.0,1.7448980505174163
3.02,1.7395895685281766
3.04,1.7278652349108419
3.06,1.5937967402163176
3.08,1.6529341771138228
3.1,1.650144928957297
3.12,1.539642188574585
3.14,1.523450421169587
3.16,1.5060812289452625
3.18,1.5551843532264433
3.2,1.565199543871194
3.22,1.5779150735151544
3.24,1.4928642667368173
3.2600000000000002,1.4548607333551995
3.2800000000000002,1.650966670965425
3.3000000000000003,1.6718632727407972
3.3200000000000003,1.6547725047973736
3.34,1.7367922192234573
3.36,1.6832110101456326
3.38,1.744991427577233
3.4,1.7184680551559166
3.42,1.6058299431153873
3.44,1.5238415155084455
3.46,1.469525093776782
3.48,1.529301880079129
3.5,1.4766833326965718
3.52,1.6136497448111844
3.54,1.611157733747481
3.56,1.7506658708599923
3.58,1.6379432631492317
3.6,1.8141594016867788
3.62,1.8659793681534862
3.64,1.5716112146442258
3.66,1.7572288080999445
3.68,1.8411377382315777
3.7,1.818831320044533
3.72,2.132062824820439
3.74,2.0485615582003174
3.7600000000000002,2.0083325083768986
3.7800000000000002,2.1395087435606808
3.8000000000000003,2.3067768286664454
3.8200000000000003,2.263860918723017
3.84,2.0057445728731604
3.86,1.8178425352270113
3.88,1.92853180428534
3.9,2.0339697337013503
3.92,1.973461149449582
3.94,1.812443953036354
3.96,1.7938366357973974
3.98,1.9286622642806126
4.0,1.8846212110408354
4.0200000000000005,1.925944345781754
4.04,1.9501377830896958
4.0600000000000005,1.8966377248629251
4.08,1.8469736856209824
4.1,1.8179347475981376
4.12,1.9239852593260114
4.14,2.0719648735067255
4.16,1.9591531782453144
4.18,2.2249353663248215
4.2,2.263738296904877
4.22,2.1139581930225906
4.24,1.983652073090516
4.26,2.0476672600342134
4.28,2.0530512453427265
4.3,1.7327404975624525
4.32,1.7064552929449373
4.34,1.8516289231127943
4.36,1.94573527602724
4.38,1.9060295954834905
4.4,1.8363421046405546
4.42,1.9259810933504782
4.44,1.8037382314426267
4.46,1.6415362306965182
4.48,1.725215372823487
4.5,1.7183321390338036
