time_ns,rg_A
0.0,36.820643324534856
0.02,36.81366483508526
0.04,36.826210195106704
0.06,36.77150528966914
0.08,36.92593644571879
0.1,36.883266344502395
0.12,36.99289936428458
0.14,37.08739741040735
0.16,37.04646813848268
0.18,37.10097067812488
0.2,37.08771139591378
0.22,37.00956059608868
0.24,37.028810118575
0.26,36.97967011372062
0.28,36.994120548729036
0.3,36.789814273421
0.32,36.890009962362505
0.34,36.9000663271672
0.36,37.04479760596979
0.38,37.016810989109366
0.4,37.092536632299634
0.42,37.03391811543027
0.44,37.01324216991321
0.46,36.94571277549353
0.48,37.0243515978735
0.5,37.04032798029876
0.52,37.1180720554379
0.54,37.08526659787592
0.56,37.10033497389461
0.58,37.05158429160712
0.6,37.0334102092539
0.62,37.24440897632848
0.64,37.223236887248746
0.66,37.323310688864986
0.68,37.43487850018239
0.7000000000000001,37.402196869913624
0.72,37.566803969110246
0.74,37.55258759566509
0.76,37.48161363067908
0.78,37.50057722399397
0.8,37.44192144058402
0.8200000000000001,37.445113915928
0.84,37.50133630456397
0.86,37.27665606260243
0.88,37.25487401042725
0.9,37.33553628854592
0.92,37.26800977612239
0.9400000000000001,37.313999537427826
0.96,37.39471130427739
0.98,37.27853349025273
1.0,37.264565232608746
1.02,37.187741356253476
1.04,37.058041648292054
1.06,37.06221253104753
1.08,37.02269364626885
1.1,37.18789358869685
1.12,37.19208349809103
1.1400000000000001,37.23161509277652
1.16,37.10924077489583
1.18,37.03771682943425
1.2,37.09745624591525
1.22,37.18522879512466
1.24,37.04732210415282
1.26,37.000991759429844
1.28,37.10283316848616
1.3,37.15549446681585
1.32,37.160233598825236
1.34,36.99726428511827
1.36,36.99435272827178
1.3800000000000001,37.07736259749984
1.4000000000000001,37.234110413336175
1.42,37.209716407114946
1.44,37.239499302365424
1.46,37.22335160653016
1.48,37.338844832228126
1.5,37.26347505538403
1.52,37.2671259118598
1.54,37.270229515581796
1.56,37.32406420211706
1.58,37.229767035448674
1.6,37.22001284272406
1.62,37.197135233330485
1.6400000000000001,37.37905053221385
1.6600000000000001,37.18578017406646
1.68,37.28437119791072
1.7,37.39713751247628
1.72,37.430399009477476
1.74,37.304380374449416
1.76,37.192196497227314
1.78,37.30692323272695
1.8,37.2400392574465
1.82,37.34965556966785
1.84,37.25645939711138
1.86,37.183473942263895
1.8800000000000001,37.28467714901319
1.9000000000000001,37.35818487172753
1.92,37.41599923265541
1.94,37.21125636403998
1.96,37.15374345913906
1.98,37.249607736345105
2.0,37.29981224238789
2.02,37.39205223582768
2.04,37.362534909634206
2.06,37.31751160151044
2.08,37.16151655516531
2.1,37.22312587754583
2.12,37.31075978244819
2.14,37.13595699111965
2.16,37.271951311227845
2.18,37.112566090867176
2.2,37.11142625306176
2.22,37.46728375326693
2.24,37.3413763185266
2.2600000000000002,37.33645746447867
2.2800000000000002,37.50568116535488
2.3000000000000003,37.33499931700193
2.32,37.30785208511071
2.34,37.32571653621784
2.36,37.40987881421175
2.38,37.37656107091548
2.4,37.48948236099327
2.42,37.417855081998155
2.44,37.5025220885075
2.46,37.4276863266243
2.48,37.40694839738119
2.5,37.31359949808107
2.52,37.35083881226043
2.54,37.38266328314298
2.56,37.25391469333322
2.58,37.26407940824332
2.6,37.33049947824963
2.62,37.458806440644764
2.64,37.54336717064831
2.66,37.367666148445345
2.68,37.353962075685786
2.7,37.4118202461831
2.72,37.31934279882983
2.74,37.15857886525825
2.7600000000000002,37.27614224957547
2.7800000000000002,37.352137512611534
2.8000000000000003,37.29490590176805
2.82,37.31215201466383
2.84,37.315621007349826
2.86,37.367140533707655
2.88,37.247924384939374
2.9,37.198049509498695
2.92,37.12886013254142
2.94,37.152849507908385
2.96,37.19877020609495
2.98,37.130468350726034
3.0,37.03875170387054
3.02,37.118011248437334
3.04,37.18078656103301
3.06,37.15263590629832
3.08,37.1560102482835
3.1,37.03243712247341
3.12,37.09652433475466
3.14,37.072505278397195
3.16,37.073808612652115
3.18,36.99137802171165
3.2,36.96490004257125
3.22,37.076073070475374
3.24,36.95819472866101
3.2600000000000002,37.14162169366439
3.2800000000000002,37.1032549649856
3.3000000000000003,37.34286547463535
3.3200000000000003,37.70687853100981
3.34,37.407884605563
3.36,37.360024393484125
3.38,37.47870691935821
3.4,37.50295620802683
3.42,37.41412118810045
3.44,37.54343583293732
3.46,37.46679111416622
3.48,37.49360620216197
3.5,37.29992187267591
3.52,37.21434916629511
3.54,37.13324029062679
3.56,37.24147530114905
3.58,37.397701786312986
3.6,37.245918951777796
3.62,37.37314633480828
3.64,37.321565318812134
3.66,37.38708185355204
3.68,37.18921082841023
3.7,37.34268647091958
3.72,37.216665170668996
3.74,37.19855271928597
3.7600000000000002,37.260199091695654
3.7800000000000002,37.489936334480085
3.8000000000000003,37.377434105828826
3.8200000000000003,37.37387297933332
3.84,37.356456443185465
3.86,37.31926064368901
3.88,37.327613257330576
3.9,37.301491172460324
3.92,37.201233028013945
3.94,37.27129856588209
3.96,37.067508186288045
3.98,37.235512536794594
4.0,37.31236751942365
4.0200000000000005,37.354668982615934
4.04,37.288321590813986
4.0600000000000005,37.28680236118652
4.08,37.28137357943954
4.1,37.32808005867729
4.12,37.38462557351873
4.14,37.43876884880736
4.16,37.33753030581689
4.18,37.161786421428395
4.2,37.324952167901706
4.22,37.25432997805304
4.24,37.25634292456304
4.26,37.39465874223342
4.28,37.28888608683986
4.3,37.339011855134714
4.32,37.3214509189381
4.34,37.207588926857106
4.36,37.138545747023706
4.38,37.25166099523678
4.4,37.14540246590954
4.42,37.10356154570632
4.44,37.074435057986435
4.46,37.02475632900201
4.48,36.94018061408268
4.5,36.90059440994704
4.5200000000000005,36.917473838883474
4.54,36.95994812663061
4.5600000000000005,37.18697836441877
4.58,37.05548576081111
4.6000000000000005,37.03097537431086
4.62,37.10645604508225
4.64,37.08336725941242
4.66,37.01410140002047
4.68,37.21000720828192
4.7,37.32818158652676
4.72,37.32849258079333
4.74,37.33833856178919
4.76,37.388736917908886
4.78,37.43662526326771
4.8,37.34473843450491
4.82,37.14300833858978
4.84,37.11720687972778
4.86,37.00310859191504
4.88,37.03358741485655
4.9,37.10496202678159
4.92,37.090821790018495
4.94,37.1148426925669
4.96,37.04672084452175
4.98,36.89753209582137
5.0,37.1061847079539
5.0200000000000005,37.02021129247846
5.04,36.94604911993929
5.0600000000000005,37.061854658270775
5.08,37.201519442516165
5.1000000000000005,36.953012599238114
5.12,36.85329568264088
5.14,36.903628852062255
5.16,37.17942523076886
5.18,37.24306692544473
5.2,37.248547489011095
5.22,37.129207667884984
5.24,37.32085559032393
5.26,37.413633340602715
5.28,37.28368829736094
