6AMU	tcr1	A2-180/0 B0-99/0 D2-115/0 E4-120/0 10-10	E100
6AMU	tcr2	A2-180/0 B0-99/0 D2-115/0 E4-120/0 10-10	E100,D30
6AMU	mhc	A2-180/0 B0-99/0 D2-115/0 E4-120/0 10-10	A9,A63,A66,A77,A80,A116,A143
6AMU	mhc_tcr1	A2-180/0 B0-99/0 D2-115/0 E4-120/0 10-10	A9,A63,A66,A77,A80,A116,A143,E100
6AMU	mhc_tcr2	A2-180/0 B0-99/0 D2-115/0 E4-120/0 10-10	A9,A63,A66,A77,A80,A116,A143,E100,D30
6AM5	tcr1	A1-180/0 B1-100/0 D1-115/0 E1-120/0 10-10	E97
6AM5	tcr2	A1-180/0 B1-100/0 D1-115/0 E1-120/0 10-10	E97,D30
6AM5	mhc	A1-180/0 B1-100/0 D1-115/0 E1-120/0 10-10	A9,A63,A66,A77,A80,A116,A143
6AM5	mhc_tcr1	A1-180/0 B1-100/0 D1-115/0 E1-120/0 10-10	A9,A63,A66,A77,A80,A116,A143,E97
6AM5	mhc_tcr2	A1-180/0 B1-100/0 D1-115/0 E1-120/0 10-10	A9,A63,A66,A77,A80,A116,A143,E97,D30
