time_ns,rg_A
0.0,37.01868027620259
0.02,37.20242159530481
0.04,37.23756927983393
0.06,37.28210113371127
0.08,37.3328165685851
0.1,37.274818522150746
0.12,37.3303261723732
0.14,37.42491176801555
0.16,37.22089343265003
0.18,37.333791921459934
0.2,37.506461908804155
0.22,37.47010508532843
0.24,37.42800618121773
0.26,37.23507838603837
0.28,37.19509726617586
0.3,37.26436286835243
0.32,37.234611148783515
0.34,37.195326698156556
0.36,37.3112631773812
0.38,37.44409258588878
0.4,37.331049387799084
0.42,37.088766286847914
0.44,37.01636825481581
0.46,36.95695252913975
0.48,36.960684172662425
0.5,36.95176890073038
0.52,36.93858019389904
0.54,36.93087076604001
0.56,37.19492921823711
0.58,37.223684053069775
0.6,37.12780817782947
0.62,37.287070770472546
0.64,37.31208169112693
0.66,37.45721651224725
0.68,37.375013044621205
0.7000000000000001,37.29345494152423
0.72,37.16570788921185
0.74,37.30176680221095
0.76,37.368161077711065
0.78,37.35362536389691
0.8,37.3092423528608
0.8200000000000001,37.19575676440966
0.84,37.189766961543576
0.86,37.30840192291825
0.88,37.2090061663554
0.9,37.2196600271272
0.92,37.187281320740894
0.9400000000000001,36.95865484882094
0.96,37.19959732998997
0.98,37.20646782768507
1.0,37.12445952569336
1.02,37.195298844939444
1.04,37.14906805948197
1.06,37.13340671556781
1.08,37.12251946184259
1.1,36.933344591045035
1.12,36.98761543953454
1.1400000000000001,36.98112168819513
1.16,37.23176326315405
1.18,37.11128620045906
1.2,37.05734984883787
1.22,37.14205705021469
1.24,37.26065694765952
1.26,37.37056847569872
1.28,37.18414448167798
1.3,37.268161974046336
1.32,37.10178487295553
1.34,37.0585180264836
1.36,37.04891219845367
1.3800000000000001,37.06508572576002
1.4000000000000001,37.053484734580955
1.42,37.08277252467707
1.44,37.12801831526913
1.46,37.11374522520833
1.48,37.07554243176333
1.5,37.14440331024365
1.52,37.189463440746344
1.54,37.2169650391957
1.56,37.1297546993646
1.58,37.1447475056824
1.6,37.41300038473714
1.62,37.25940106789763
1.6400000000000001,37.32731806109132
1.6600000000000001,37.37891431665065
1.68,37.421946240361066
1.7,37.46321658547536
1.72,37.354779227606485
1.74,37.24181147075681
1.76,37.1272264849943
