time_ns,rmsd_A
0.0,0.0
0.02,0.8853953700166134
0.04,0.9794766552422359
0.06,0.9848746053784998
0.08,1.031423310415873
0.1,0.9761137607917963
0.12,1.023223435291294
0.14,1.2059478946473452
0.16,1.3144912852983215
0.18,1.304414305320378
0.2,1.3735242804604002
0.22,1.371798307716772
0.24,1.3578813209514144
0.26,1.0804793643213186
0.28,1.2108563754000177
0.3,1.2089296779698047
0.32,1.108173253780542
0.34,1.1817113994475958
0.36,1.2197412856852865
0.38,1.435475721112565
0.4,1.3061449432566525
0.42,1.3326841490042247
0.44,1.2717086245706064
0.46,1.204711019426917
0.48,1.1604246753157144
0.5,1.1658760456061514
0.52,1.1435392693717288
0.54,1.0975048403333718
0.56,1.2984260757590367
0.58,1.40903209033406
0.6,1.2252863316097178
0.62,1.3605399268702139
0.64,1.3889527466583367
0.66,1.3799649327138874
0.68,1.411411946815429
0.7000000000000001,1.4255851153530077
0.72,1.3797306446939808
0.74,1.4262458600569456
0.76,1.3889717685141827
0.78,1.268733474160105
0.8,1.5124311571413496
0.8200000000000001,1.5143666863758871
0.84,1.4320226163072505
0.86,1.493029332292914
0.88,1.3923828807343464
0.9,1.277453442628266
0.92,1.3228302993067143
0.9400000000000001,1.374444789714769
0.96,1.4101604010304558
0.98,1.5912608899227036
1.0,1.436835748520521
1.02,1.2600836093144734
1.04,1.2603766759796604
1.06,1.3592695712010698
1.08,1.407169359285359
1.1,1.7226124894049477
1.12,1.7782949823050618
1.1400000000000001,1.8342868908802474
1.16,1.824833278241759
1.18,1.788322061539888
1.2,1.7313727975651325
1.22,1.8803095421334761
1.24,1.8321518151430927
1.26,1.7632048564279916
1.28,1.79193339737543
1.3,1.7666457507790512
1.32,1.7759545863844648
1.34,1.9508397484772764
1.36,1.8744782227701233
1.3800000000000001,1.8225575273129286
1.4000000000000001,1.863799988121554
1.42,2.090975411195132
1.44,1.9105980359189343
1.46,2.0283375334140294
1.48,1.771985250503346
1.5,1.9256262093075478
1.52,1.8701920616669245
1.54,1.9080964285515336
1.56,1.9238398148262545
1.58,1.8822590750842725
1.6,2.031201648988202
1.62,2.1014409425317493
1.6400000000000001,2.1404337371477684
1.6600000000000001,2.066155563693613
1.68,2.0085240982508674
1.7,2.099509167292746
1.72,2.034528735406542
1.74,1.8326996824492008
1.76,1.9757153120345468
1.78,1.8474483082921382
1.8,1.7988785942644947
1.82,1.8821277176078248
1.84,2.0084350492624323
1.86,2.1188679992627866
1.8800000000000001,1.9269190531627038
1.9000000000000001,1.899317970285125
1.92,2.086725298542719
1.94,2.1573202911097695
1.96,1.9948994875611163
1.98,1.9420167352596032
2.0,1.9760977377712179
2.02,1.9003631610523701
2.04,2.1058971619982545
2.06,2.2962500889025743
2.08,2.437703160066419
2.1,2.3226766421201086
2.12,2.310638278435139
2.14,2.2714946762448336
2.16,2.1744634232323583
2.18,2.148375923219969
2.2,2.2920131314389196
2.22,2.3403966396969924
2.24,2.0341732536200614
2.2600000000000002,1.9898780687491298
2.2800000000000002,2.1241585677397867
2.3000000000000003,2.2975797187732616
