time_ns,rmsd_A
0.0,0.0
0.02,0.9376246764847811
0.04,1.1218286424390427
0.06,1.375428198767252
0.08,1.1528570597310195
0.1,1.1817598772990268
0.12,1.3588525191646477
0.14,1.3437351165103602
0.16,1.6687654873285351
0.18,1.546753847119946
0.2,1.7110671989127135
0.22,1.6776394544284117
0.24,1.588574285722578
0.26,1.7197747106309764
0.28,1.5736559230830178
0.3,1.6448157074454455
0.32,1.7577872942115904
0.34,1.7348231976919977
0.36,1.8164682023177108
0.38,1.7390444766325586
0.4,1.5669756293737773
0.42,1.5414326461019652
0.44,1.8159557950706282
0.46,2.1070214135655383
0.48,2.0303700049999147
0.5,2.0250269899630857
0.52,2.130336083498769
0.54,2.15827439181853
0.56,2.012296638592999
0.58,2.1174364874003113
0.6,1.9155347979498523
0.62,1.980290912878614
0.64,1.9648181585039621
0.66,1.613822993731447
0.68,1.5608018408008208
0.7000000000000001,1.3351938209303462
0.72,1.2512840493200137
0.74,1.3266262697946254
0.76,1.365816269505623
0.78,1.5574225336897556
0.8,1.659089928461677
0.8200000000000001,1.6339150280358112
0.84,1.7017168550259791
0.86,1.6967232665894103
0.88,1.6501893877600977
0.9,1.6260643885430432
0.92,1.4327022032031993
0.9400000000000001,1.5044662370156319
0.96,1.6633661351911626
0.98,1.5195028534740007
1.0,1.7993143872532245
1.02,1.8529394737447713
1.04,1.8113567657330691
1.06,1.6241536969805208
1.08,1.5165155045645184
1.1,1.498936552537131
1.12,1.663554356813885
1.1400000000000001,1.3396127724719067
1.16,1.4615092133788425
1.18,1.3757003266879195
1.2,1.3690923817350205
1.22,1.5815779969872008
1.24,1.757102381950944
1.26,1.6786998043300048
1.28,1.9268525632808309
1.3,1.8995913239894142
1.32,1.6132237010819488
1.34,1.8273475484444734
1.36,1.7781392553148057
1.3800000000000001,1.6313968357137578
1.4000000000000001,1.9241337363439703
1.42,1.7701599345263093
1.44,1.6033569245107824
1.46,1.924832999420118
1.48,2.0302092752233825
1.5,2.0210227022002574
1.52,1.9246027821626088
1.54,2.0022864472645714
1.56,2.09049314165463
1.58,2.146799166623519
1.6,2.1173085218703935
1.62,2.0871900838926405
1.6400000000000001,2.159343225948244
1.6600000000000001,1.9915586938332188
1.68,1.9829230834099276
1.7,2.1501457881882797
1.72,2.2396315395391095
1.74,2.2279650237084665
1.76,1.8092324267234856
1.78,1.6477757828653519
1.8,1.6765334724396084
1.82,1.794011449724528
1.84,1.7393124973041059
1.86,1.720288262007053
1.8800000000000001,2.0252143300999608
1.9000000000000001,1.9810164639422816
1.92,2.0495162295290097
1.94,2.0266994809602092
1.96,2.1959061827664677
1.98,2.280544803886674
2.0,2.4783514458822298
2.02,2.2951785435368275
2.04,2.1260298290336723
2.06,2.1413730947131633
2.08,2.164004402534647
2.1,2.1369972747751143
2.12,2.294907639916374
2.14,2.490707451561475
2.16,2.3434627267043155
2.18,2.1144419758825417
2.2,2.110449008804308
2.22,2.0467984904721965
2.24,1.9588393016917258
2.2600000000000002,2.284832476284
2.2800000000000002,2.2281531582559473
2.3000000000000003,2.0970280364301344
2.32,2.1317611294334533
2.34,2.338456308310252
2.36,2.4506829851094447
2.38,2.659495219373426
2.4,2.62956916914471
2.42,2.4655632302692196
2.44,2.447113087855633
2.46,2.38418696655711
2.48,2.456658391804804
2.5,2.4967517173881424
2.52,2.4270773700991928
2.54,2.529859710513744
2.56,2.4492049414474306
2.58,2.4312901166736487
2.6,2.4872470075346818
2.62,2.3964727110739927
2.64,2.421283563215927
2.66,2.2920176628928988
2.68,2.2237591649254482
2.7,2.183982981414421
2.72,2.2765369824755313
2.74,2.257965281208074
2.7600000000000002,2.3162100854902925
2.7800000000000002,2.197348794808034
2.8000000000000003,2.004347423908187
2.82,2.168532527249859
2.84,2.0872690248301042
2.86,2.0614603783127143
2.88,2.0345493510338315
2.9,2.0128229911760926
2.92,2.047306733131795
2.94,1.9385236405211168
2.96,1.7701583900061317
2.98,1.8702728686419878
3.0,1.8595471622270445
3.02,1.802331493713637
3.04,1.8737599702636702
3.06,1.795244121800313
3.08,1.8442382858004898
3.1,1.7959549462911244
3.12,1.7996673567119983
3.14,1.680074925676145
3.16,1.627014866292188
3.18,1.6389377038458308
3.2,1.6139922255677406
3.22,1.8977706533792358
3.24,1.8386515110455504
3.2600000000000002,1.846465408562902
3.2800000000000002,1.9752149319742442
3.3000000000000003,1.9510440288863498
3.3200000000000003,1.7188941178610782
3.34,1.8586313907269925
3.36,1.7923622727922992
3.38,1.6636864612199629
3.4,1.8315858064002644
3.42,2.0403949580557468
3.44,2.0021321295780656
3.46,2.142365494035938
3.48,2.144040381409912
3.5,1.9012580814411295
3.52,1.7754715454658465
3.54,1.7065624333398233
3.56,1.910462268474024
3.58,1.9174298434141899
3.6,1.9680824058249482
3.62,2.2325219285377993
3.64,2.268038425610907
3.66,2.187564547457069
3.68,2.2551100271174422
3.7,2.2850046745714305
3.72,2.431355766320895
3.74,2.529396973415654
3.7600000000000002,2.562874180277461
3.7800000000000002,2.21373441179747
3.8000000000000003,2.259393564845324
3.8200000000000003,2.478099335368078
3.84,2.650646910588948
3.86,2.5025830772911193
3.88,2.6501009217538436
3.9,2.6843577993438856
3.92,2.867913131716155
3.94,2.641127581726154
3.96,2.5488883511439124
3.98,2.4918236204073945
4.0,2.5978362458149666
4.0200000000000005,2.5881233494864717
4.04,2.4767062875778723
4.0600000000000005,2.167197552621913
4.08,2.109928368332819
4.1,2.0795401447727646
4.12,1.9883767427023764
4.14,2.0918572578793566
4.16,2.3306501547813068
4.18,2.221910093408976
4.2,2.452053716346659
4.22,2.4834552752037093
4.24,2.6162958671704075
4.26,2.585049939690956
4.28,2.523278060268759
4.3,2.34388084947906
4.32,2.3337131159390023
4.34,2.305679681585416
4.36,2.2523035115441625
4.38,2.277155515356478
4.4,2.41757538165074
4.42,2.581567261640039
4.44,2.3672378363652835
4.46,2.4683840386451266
4.48,2.484711400581522
4.5,2.6722402139799755
4.5200000000000005,2.820878828465816
4.54,2.754617863661185
4.5600000000000005,2.680892143362501
4.58,2.7021489208097393
4.6000000000000005,2.64078595303886
4.62,2.677473534741818
4.64,2.46600240745584
4.66,2.290619882650007
4.68,2.2648520284488214
4.7,2.2710073144748684
4.72,2.534485791481415
4.74,2.5233604115365225
4.76,2.5472822612482835
4.78,2.609352791393475
4.8,2.7604885366418026
4.82,2.6661147882871776
4.84,2.5474766403588096
4.86,2.389885867983247
4.88,2.413211641451481
4.9,2.3582453113590525
4.92,2.1692457323951935
4.94,2.2164643045350076
4.96,2.1846393748048576
4.98,2.2254347182880174
5.0,2.517317528174468
5.0200000000000005,2.447726877959885
5.04,2.563996644445463
5.0600000000000005,2.912812782323478
5.08,2.5540144999596377
5.1000000000000005,2.6212516528416847
5.12,2.5354667531447648
5.14,2.6783996132110386
5.16,2.457215875892631
5.18,2.535755749803251
5.2,2.5084005586023785
5.22,2.499306087623608
5.24,2.281579950053806
