time_ns,rmsd_A
0.0,1.1648984564903484e-06
0.02,0.7998712626543293
0.04,0.85375790301619
0.06,0.969055127739364
0.08,1.1917582693209294
0.1,1.2139742190484228
0.12,1.275093979817271
0.14,1.3917614196695172
0.16,1.2401069432526315
0.18,1.1865300109313819
0.2,1.269820425253006
0.22,1.2737930489794238
0.24,1.361421568257477
0.26,1.5027019672417081
0.28,1.5255660653982919
0.3,1.4345975446867814
0.32,1.5558238028308868
0.34,1.576544766220781
0.36,1.8234874186542356
0.38,1.6770940374190777
0.4,1.6154879835466973
0.42,1.5456721087993888
0.44,1.4913252673504582
0.46,1.321049149016361
0.48,1.3130023017841779
0.5,1.3162782114130644
0.52,1.3874707299439812
0.54,1.3943898110565058
0.56,1.428689261503974
0.58,1.5339679098331618
0.6,1.534015219842054
0.62,1.7229204127029134
0.64,1.7303136549681224
0.66,1.6928767333376018
0.68,1.7950687865583566
0.7000000000000001,1.7475984102704607
0.72,1.8685413998482518
0.74,1.7231432671538067
0.76,1.5818099653002065
0.78,1.4676227988896529
0.8,1.6303304053785075
0.8200000000000001,1.5192660316828988
0.84,1.5475647459533415
0.86,1.6854041288190507
0.88,1.6650701742768161
0.9,1.6075008419206198
0.92,1.4700316830589646
0.9400000000000001,1.5030804323494669
0.96,1.6108570102948205
0.98,1.5995597966038688
1.0,1.696535110475781
1.02,1.5976542559927416
1.04,1.5488107329153709
1.06,1.4507289157490468
1.08,1.3842207171681904
1.1,1.425309300163367
1.12,1.4000768207900554
1.1400000000000001,1.4434418953284676
1.16,1.4314350150367676
1.18,1.508263057031209
1.2,1.5138366274031863
1.22,1.4526459197388424
1.24,1.5209000748906303
1.26,1.5731146275513685
1.28,1.6827702063576573
1.3,1.585818920958544
1.32,1.5623615963110447
1.34,1.4041385803735256
1.36,1.387809061719194
1.3800000000000001,1.4145229724422228
1.4000000000000001,1.4163445465221869
1.42,1.505657722754423
1.44,1.3757760892831428
1.46,1.4570979365450982
1.48,1.4867011356699866
1.5,1.4865467128900216
1.52,1.3349520219261342
1.54,1.6130633395683764
1.56,1.672150302902633
1.58,1.51864514447759
1.6,1.6632518715420739
1.62,1.6978848056172828
1.6400000000000001,1.6161722722007117
1.6600000000000001,1.4576138488287618
1.68,1.4845715323911928
1.7,1.4055374697203993
1.72,1.3520262141305746
1.74,1.2134985743411548
1.76,1.2447996784175768
1.78,1.330300199966344
1.8,1.2748480616675761
1.82,1.2800158924421274
1.84,1.275936097607356
1.86,1.2853445242768045
1.8800000000000001,1.220360841294386
1.9000000000000001,1.244692632530691
1.92,1.3512075160123282
1.94,1.4423251194893931
1.96,1.3058025372650048
1.98,1.3637703215362373
2.0,1.47683215297897
2.02,1.4291757213967162
2.04,1.4791631869617592
2.06,1.3859664343245959
2.08,1.485155482363032
2.1,1.4261073537488442
2.12,1.6032614542887114
2.14,1.4258200630339806
2.16,1.4825786597183348
2.18,1.7382250378022823
2.2,1.523614219104936
2.22,1.7308694401566824
2.24,1.6344370873757006
2.2600000000000002,1.5755138546740575
2.2800000000000002,1.5445609884851836
2.3000000000000003,1.6101144631215314
