time_ns,rg_A
0.0,36.928943996668785
0.02,36.97804485339058
0.04,37.054239234960725
0.06,37.12943547822938
0.08,37.17467835778089
0.1,37.08517810374994
0.12,37.09784768059839
0.14,37.07977852620908
0.16,37.18633850764608
0.18,37.183917908594005
0.2,37.08450290886006
0.22,37.031414759513034
0.24,37.240237591519396
0.26,37.37955248733857
0.28,37.41797837926169
0.3,37.23249711923103
0.32,37.2782900781295
0.34,37.27236934628957
0.36,37.420089562834825
0.38,37.332990345219244
0.4,37.33318648258371
0.42,37.260152897533445
0.44,37.23945023554309
0.46,37.282825633307255
0.48,37.387488306634296
0.5,37.24424200305781
0.52,37.199912706151316
0.54,37.174582828188335
0.56,37.121374723498135
0.58,37.10655909818449
0.6,37.03348970646024
0.62,37.16934227797263
0.64,37.09137734105164
0.66,37.02665439665054
0.68,37.038992825026654
0.7000000000000001,37.05585441510376
0.72,37.01849231968865
0.74,37.05644439469654
0.76,37.087952193747654
0.78,37.184787650943676
0.8,36.8280805116987
0.8200000000000001,37.128634751655504
0.84,37.374602265539714
0.86,37.29445451459347
0.88,37.29178267158566
0.9,37.26924184620871
0.92,37.23396926520196
0.9400000000000001,37.15108519404432
0.96,37.13682192110818
0.98,36.907518099251156
1.0,37.021946862700645
1.02,36.918503389150416
1.04,37.117010233946615
1.06,37.017852393195795
1.08,37.10725572664415
1.1,36.96240726353352
1.12,37.023475709450146
1.1400000000000001,37.03702195341215
1.16,37.156579377998106
1.18,37.09687813426089
1.2,36.98341226084013
1.22,37.06782455406377
1.24,37.1312996346285
1.26,37.207065163590855
1.28,37.15251276492566
1.3,37.13952274044226
1.32,37.19402906340899
1.34,37.16718206604597
1.36,37.1784217859141
1.3800000000000001,37.12413589721466
1.4000000000000001,36.99380658448727
1.42,36.993628576641164
1.44,37.051897441045014
1.46,37.11401940128827
1.48,37.28913186125668
1.5,37.36062872717845
1.52,37.31467949856658
1.54,37.33339294181361
1.56,37.23075881785033
1.58,37.22158166798142
1.6,37.36837516379199
1.62,37.549334734053595
1.6400000000000001,37.39895755504417
1.6600000000000001,37.27297192267501
1.68,37.37198899781761
1.7,37.144735574008266
1.72,37.23577885300603
1.74,37.19818620507405
1.76,37.08607812339313
1.78,37.204121259529245
1.8,37.24989515935664
1.82,37.22022847667024
1.84,37.3016519142337
1.86,37.13296761632508
1.8800000000000001,37.13606125056619
1.9000000000000001,37.115849509558295
1.92,37.19232092288326
1.94,37.111636047546384
1.96,36.97994258723306
1.98,37.19465941034043
2.0,37.11091680061189
2.02,37.26781398017069
2.04,37.26577714847738
2.06,37.122172925611714
2.08,37.08389031278443
2.1,37.33460090261181
2.12,37.35965349888238
2.14,37.190165972953395
2.16,37.17153617988532
2.18,37.475692605978004
2.2,37.3587142579958
2.22,37.358527472951934
2.24,37.392264564590256
2.2600000000000002,37.27857248391594
2.2800000000000002,37.31073953428928
2.3000000000000003,37.37361390197314
2.32,37.30484542190046
2.34,37.49240932658606
2.36,37.59655358395106
2.38,37.55971293728676
2.4,37.402746190934444
2.42,37.40143128177072
2.44,37.37927214876762
2.46,37.44336621366824
2.48,37.394564654997026
2.5,37.5673487981604
2.52,37.35141897451538
2.54,37.31914514126928
2.56,37.23356571756434
2.58,37.229244021580335
2.6,37.242355546905884
2.62,37.26894067072234
2.64,37.213879281011465
2.66,37.061293461302796
2.68,37.0654327195998
2.7,37.12826407715056
2.72,37.16919797952767
2.74,36.98956298508568
2.7600000000000002,37.00177835371078
2.7800000000000002,36.9679496752163
2.8000000000000003,37.01410844255707
2.82,36.98922901774295
2.84,37.13818504770829
2.86,37.12806035258478
2.88,36.96334001398956
2.9,37.04214371571929
2.92,37.1079303524884
2.94,37.05114580492581
2.96,37.0345396117658
2.98,37.112737741188774
3.0,37.199552513032266
3.02,37.13293586659102
3.04,37.059162009149695
3.06,36.87451714282988
3.08,37.0136097595116
3.1,37.00967672712394
3.12,36.9771836151514
3.14,37.14280260248056
3.16,37.10418402813145
3.18,36.922152959976145
3.2,36.72519590929038
3.22,36.8710649376091
3.24,36.79665921902814
3.2600000000000002,36.875421476425565
3.2800000000000002,36.81585008364455
3.3000000000000003,37.04396781423403
3.3200000000000003,36.85388178123471
3.34,36.814175297297076
3.36,36.93002287177116
3.38,36.683039601998125
3.4,36.73197305865915
3.42,36.6632080911859
3.44,36.894749539029064
3.46,36.96143802894002
3.48,37.0634587678583
3.5,37.04197012687141
3.52,36.99423964192359
3.54,36.96308619282688
3.56,36.89617687366411
3.58,36.92940293744958
3.6,36.8126866089517
3.62,36.809199192005636
3.64,37.02639576933804
3.66,36.81884936510383
3.68,36.970786902341764
3.7,37.012505377241304
3.72,37.10224953509635
3.74,37.17398435939036
3.7600000000000002,37.2150370629225
3.7800000000000002,37.02569920513947
3.8000000000000003,36.78207955321273
3.8200000000000003,37.067664845191416
3.84,37.072763958766444
3.86,37.101575349454166
3.88,37.14233911299407
3.9,37.10470730302648
3.92,37.07668972158068
3.94,37.15078582256217
3.96,37.05237940979676
3.98,37.115928380523975
4.0,36.96809437785867
4.0200000000000005,36.9490272960575
4.04,36.8270877737315
4.0600000000000005,36.836740447176695
4.08,36.889442557700775
4.1,36.828815903174046
4.12,36.91990067027156
4.14,37.04050493600902
4.16,36.86007619587508
4.18,36.750783748227406
4.2,36.65289690177213
4.22,36.79736816300594
4.24,36.770481005474004
4.26,36.906934380742626
4.28,36.708404932148895
4.3,36.69740132724257
4.32,36.80368740382529
4.34,36.71336907006614
4.36,36.71841784058009
4.38,36.68734168175701
4.4,36.89607328916284
4.42,36.84432897762265
4.44,36.81711308335172
4.46,36.81213734306624
4.48,36.85947979862571
