frame,time_ns,toGIG,toDRG
0,0.0,0.5219670583733467,3.0000347148143254
1,0.05005005005005005,0.5104347436037198,3.037211315448309
2,0.1001001001001001,0.577967322454698,3.121006891975878
3,0.15015015015015015,0.6482207763955623,3.171774641782066
4,0.2002002002002002,0.5601376039999864,3.1862278293599653
5,0.2502502502502503,0.36941712647011243,3.007810633366306
6,0.3003003003003003,0.5078310248464294,3.004719809483408
7,0.3503503503503504,0.4103007948368777,3.0554069149379477
8,0.4004004004004004,0.7107148438537062,3.173164657440023
9,0.45045045045045046,0.6930236399747975,3.1307504146690337
10,0.5005005005005005,0.5778084275679465,3.038747079717652
11,0.5505505505505506,0.6711667457935134,3.103267139217237
12,0.6006006006006006,0.5858842825517785,2.9894043433186117
13,0.6506506506506506,0.5073643267922663,2.94526792600192
14,0.7007007007007008,0.5158833583852825,2.880515862521314
15,0.7507507507507508,0.5104283984244622,3.0269946672752175
16,0.8008008008008008,0.40641541004418746,2.951299519294152
17,0.8508508508508509,0.6281980788628054,2.845754507785049
18,0.9009009009009009,0.5985286010951338,3.164149016831466
19,0.9509509509509511,0.5583394223691053,2.879429718569859
20,1.001001001001001,0.6083534745625201,2.962687305406196
21,1.0510510510510511,0.49275223724331474,3.053525076048599
22,1.1011011011011012,0.5617243825553899,3.094110145446662
23,1.1511511511511512,0.52565930448586,3.1005265199226817
24,1.2012012012012012,0.7190232229551783,3.1527808336430505
25,1.2512512512512513,0.6987511590370397,2.958464921104527
26,1.3013013013013013,0.4794731099811554,3.053089687835434
27,1.3513513513513515,0.5800986407913831,2.979327152333741
28,1.4014014014014016,0.4680841420322604,2.9230802467022485
29,1.4514514514514516,0.6591346332981414,2.9826979351710174
30,1.5015015015015016,0.5111125284618787,3.0721108237756827
31,1.5515515515515517,0.684135533001032,2.8958099166134317
32,1.6016016016016017,0.6062093242282764,3.097186418831025
33,1.6516516516516517,0.4588335680614179,3.0641896554903503
34,1.7017017017017018,0.730478494336464,2.795100524389947
35,1.7517517517517518,0.6286833902838925,3.0631167600039233
36,1.8018018018018018,0.44191764359869495,2.93852787663234
37,1.8518518518518519,0.4492874651538776,2.84828911959738
38,1.9019019019019021,0.6348878425587711,3.026393132368796
39,1.9519519519519521,0.5680969475042161,2.8746764645688105
40,2.002002002002002,0.5431363179116028,2.8508389954243127
41,2.052052052052052,0.6098075576590632,2.9617584478218735
42,2.1021021021021022,0.5838556242627447,3.0157023823783984
43,2.1521521521521523,0.7233443986116023,2.923114595794894
44,2.2022022022022023,0.8010905083098137,2.8120938313038715
45,2.2522522522522523,0.771900263377733,2.973366853770345
46,2.3023023023023024,0.5463740844560072,2.9555350541242413
47,2.3523523523523524,0.5849672918723053,2.9794494440292834
48,2.4024024024024024,0.7059789263021685,2.849650854321202
49,2.4524524524524525,0.690170022944376,2.8672509675463536
50,2.5025025025025025,0.5690976004245188,2.8987181411958165
51,2.5525525525525525,0.6219897947833277,2.9446566419960063
52,2.6026026026026026,0.6785551549388964,2.8686100791598244
53,2.6526526526526526,0.57574963798281,3.0517537848601206
54,2.702702702702703,0.6799768164221023,3.0680712861579895
55,2.752752752752753,0.4734311320334031,2.950582598765207
56,2.802802802802803,0.4692983642372191,2.8142917142795536
57,2.852852852852853,0.4484026849292925,2.8835294357129
58,2.902902902902903,0.46113999123186217,2.8969984665155986
59,2.9529529529529532,0.574153889209734,3.010269405139052
60,3.0030030030030033,0.6228952699152563,3.061480224480561
61,3.0530530530530533,0.535378506303907,2.9981973353989706
62,3.1031031031031033,0.4737062611503681,3.0923302383429747
63,3.1531531531531534,0.47653498796938104,2.891704759829031
64,3.2032032032032034,0.4938736245580746,2.903779653380553
65,3.2532532532532534,0.6672856759072564,2.9843011972539686
66,3.3033033033033035,0.48837390802112024,2.861901692019867
67,3.3533533533533535,0.5831606766093576,2.8941011228962767
68,3.4034034034034035,0.7039123361773688,3.155419563244989
69,3.4534534534534536,0.715312106655531,2.9124389631797416
70,3.5035035035035036,0.8479272857218781,2.923427555190356
71,3.5535535535535536,0.44772897554413676,2.9550497159962243
72,3.6036036036036037,0.8460253697810327,2.8438146506966757
73,3.6536536536536537,0.7620414223582803,2.9443251424877035
74,3.7037037037037037,0.7145610978014815,2.9101290763342083
75,3.753753753753754,0.5455803664187077,2.947342360086109
76,3.8038038038038042,0.7424608559260544,2.9356364914102877
77,3.8538538538538543,0.6641237789686345,2.962086344507375
78,3.9039039039039043,0.5482244717590293,2.959886735089701
79,3.9539539539539543,0.7801968139553201,2.9926810354127826
80,4.004004004004004,0.7812767468480928,2.935023742821054
81,4.054054054054054,0.9179323110679214,2.995076896678698
82,4.104104104104104,0.42664397161133244,2.992528762725976
83,4.1541541541541545,0.7494319220343177,3.00130011663849
84,4.2042042042042045,0.8261356921564469,3.100191055272194
85,4.2542542542542545,0.704979387563054,2.886033916415929
86,4.3043043043043046,0.8969344886769042,2.980971641772218
87,4.354354354354355,0.7064288315135827,2.8862026831033383
88,4.404404404404405,0.7151371028790204,2.93260414671423
89,4.454454454454455,0.8283640011908898,2.9457127291320786
90,4.504504504504505,0.7040859203197348,2.9089681173931834
91,4.554554554554555,0.7581642679511715,2.8620251859324073
92,4.604604604604605,0.5694809608289554,2.8663084988085186
93,4.654654654654655,0.5361698885378241,2.8965882171746973
94,4.704704704704705,0.62100256761025,2.8572662255351804
95,4.754754754754755,0.6371313585560894,2.9009404572078927
96,4.804804804804805,0.6602121563437003,2.975172571394969
97,4.854854854854855,0.8289503532245223,2.945193562237089
98,4.904904904904905,0.4527091654094881,2.9601289808668083
99,4.954954954954955,0.658540683336758,2.9079661732904416
100,5.005005005005005,0.8397587631945969,2.9202730600342814
101,5.055055055055055,0.5592455508477459,3.0488680735488005
102,5.105105105105105,0.8060914912162642,2.893313552382463
103,5.155155155155155,0.6752225093970475,2.8711021588331933
104,5.205205205205205,1.0769388696044213,2.950712190438884
105,5.255255255255255,0.751787902609804,2.974689788537392
106,5.305305305305305,0.6957030146476437,2.894623274264264
107,5.355355355355356,0.5295249265242807,2.8763077253119507
108,5.405405405405406,0.9127695026636589,2.86976804144334
109,5.455455455455456,0.7745436349736986,2.875501717813096
110,5.505505505505506,0.8092954888822649,2.9727304644796035
111,5.555555555555556,0.8420969894655382,2.8954429249677918
112,5.605605605605606,0.5076870823359076,2.870449250526613
113,5.655655655655656,0.6355820665826275,2.9006301465782744
114,5.705705705705706,0.7948858191074841,3.03162069430771
115,5.755755755755756,0.7449299964439611,2.8110477042061026
116,5.805805805805806,0.8405867346585971,2.856906553793502
117,5.855855855855856,0.6602122464076748,2.836588936004711
118,5.9059059059059065,0.5589843730254954,3.0265393504205744
119,5.9559559559559565,0.955151172822321,2.889220621060873
120,6.0060060060060065,0.8075117382095555,2.8727571538919863
121,6.056056056056057,0.6443882821399888,2.875369913151563
122,6.106106106106107,0.6649376658419697,2.7691781023154824
123,6.156156156156157,0.8203344996882345,2.899520752106345
124,6.206206206206207,0.8733743845432773,3.0061341068289447
125,6.256256256256257,0.7672774891955458,2.954469832523055
