time_ns,rg_A
0.0,36.890824441544645
0.02,36.92077770908763
0.04,36.9028547566149
0.06,36.95988016429548
0.08,36.900657138536715
0.1,37.140895283272016
0.12,37.11560423256292
0.14,36.95498145554301
0.16,36.80569211081613
0.18,37.06183947238563
0.2,37.156860401232734
0.22,37.41999518358793
0.24,37.48514088995744
0.26,37.321542113360394
0.28,37.25478265919557
0.3,37.38473357402305
0.32,37.403497919600234
0.34,37.272745859264184
0.36,37.34010935842285
0.38,37.34837661618343
0.4,37.23146582821073
0.42,37.29745006684572
0.44,37.31561999235815
0.46,37.25801884840917
0.48,37.35517494107811
0.5,37.293180729680316
0.52,37.22016562483831
0.54,37.38144814519983
0.56,36.99811564431078
0.58,37.12293713439446
0.6,37.175889453325716
0.62,37.109650160969615
0.64,36.9621824264231
0.66,36.903505781053504
0.68,36.87864825176915
0.7000000000000001,36.8069992424432
0.72,37.01559317693003
0.74,36.97163916078055
0.76,37.23637293705962
0.78,37.183861593156436
0.8,37.12902455450536
0.8200000000000001,37.144530137518565
0.84,37.124268624312414
0.86,37.24165269707188
0.88,37.26945719050346
0.9,37.20877356004668
0.92,37.24338459078047
0.9400000000000001,37.18230678812466
0.96,37.33017807306018
0.98,37.338756461614075
1.0,37.20490112341418
1.02,37.114030611858425
1.04,37.208506616603
1.06,37.11562143213136
1.08,37.02780269906617
1.1,36.72580656495432
1.12,36.96236924736088
1.1400000000000001,37.121704321328046
1.16,36.66413202540861
1.18,36.82676396247907
1.2,36.795966993031485
1.22,36.75975667944851
1.24,36.716749732771895
1.26,36.80074526828391
1.28,36.66655540234223
1.3,36.67237668977851
1.32,36.63870681435985
1.34,36.64847280232511
1.36,36.86684849972587
1.3800000000000001,36.83978984584098
1.4000000000000001,36.779831712169354
1.42,36.94367850807269
1.44,36.72956410602917
1.46,36.78015223042354
1.48,36.74234641821228
1.5,36.72930378907047
1.52,36.741739987122145
1.54,36.714425144032184
1.56,36.66978537675041
1.58,36.742545406708885
1.6,36.700999604883535
1.62,36.87509743163277
1.6400000000000001,36.889962118235054
1.6600000000000001,36.90411864794603
1.68,36.91255789190331
1.7,36.66801624577557
1.72,36.584426765424155
1.74,36.664444715735804
1.76,36.70738853554797
1.78,36.80257006506659
1.8,36.69402102606561
1.82,36.77947787596131
1.84,36.93079016616708
1.86,36.95352907404085
1.8800000000000001,36.919905538446194
1.9000000000000001,36.941022863495725
1.92,36.87362939795796
1.94,36.95026354049883
1.96,36.89634055913681
1.98,36.848217869091066
2.0,36.851680853028704
2.02,36.832219356862524
2.04,36.98649587231586
2.06,37.03132637192579
2.08,36.913462052198035
2.1,36.78352218971632
2.12,36.7296555375456
2.14,36.70867180253828
2.16,36.785850309622674
2.18,36.86326412388236
2.2,36.8076933034056
